user_id,event_id,answer,time_triggerd,time_acknowledge,missed,ack_medium
1,2,"[1, 3, 3, 5, 5, 5]",2022-07-21 13:20:11.001203,2022-07-21 13:20:22.590767,False,display
1,11,"[2, 2, 3, 3, 5, 5]",2022-07-21 16:11:10.082465,2022-07-21 16:11:17.477247,False,display
1,6,"[4, 4, 3, 5, 5, 5]",2022-07-21 16:54:10.336294,2022-07-21 16:54:16.015196,False,display
1,20,"[2, 1, 1, 2, 1, 3]",2022-07-21 18:23:10.283131,2022-07-21 18:23:20.762965,False,display
1,7,"[2, 2, 3, 4, 5, 4]",2022-07-21 20:01:10.170949,2022-07-21 20:01:33.651720,False,phone
1,22,"[1, 3, 3, 5, 5, 5]",2022-07-21 21:44:10.867707,2022-07-21 21:44:24.554485,False,display
1,24,"[2, 5, 4, 2, 1, 1]",2022-07-22 09:01:11.042491,2022-07-22 09:01:27.191376,False,display
1,30,"[1, 4, 5, 2, 1, 5]",2022-07-22 09:42:10.222413,2022-07-22 09:42:28.742357,False,phone
1,3,[],2022-07-22 12:46:10.802028,,True,
1,16,"[3, 2, 1, 2, 1, 4]",2022-07-22 13:13:10.298133,2022-07-22 13:13:17.691284,False,display
1,14,"[1, 3, 3, 5, 5, 5]",2022-07-22 15:51:10.779203,2022-07-22 15:51:33.547820,False,display
1,12,"[3, 3, 3, 5, 5, 5]",2022-07-22 16:35:10.422421,2022-07-22 16:35:16.641949,False,display
1,25,"[2, 4, 4, 2, 5, 1]",2022-07-22 18:07:10.590425,2022-07-22 18:07:25.262138,False,display
1,29,"[2, 4, 4, 5, 3, 2]",2022-07-23 08:21:10.388470,2022-07-23 08:21:22.348262,False,display
1,1,"[1, 3, 3, 5, 5, 5]",2022-07-23 09:26:11.003005,2022-07-23 09:26:36.593187,False,display
1,23,"[4, 3, 4, 2, 4, 5]",2022-07-23 11:27:10.190788,2022-07-23 11:27:27.094465,False,display
1,18,"[4, 2, 2, 4, 1, 5]",2022-07-23 12:38:10.432388,2022-07-23 12:38:22.582083,False,display
1,21,"[1, 3, 3, 5, 5, 5]",2022-07-23 14:19:10.363488,2022-07-23 14:19:59.152812,False,display
1,13,"[4, 3, 2, 5, 4, 5]",2022-07-23 14:41:10.909025,2022-07-23 14:41:36.715101,False,display
